Número,Nome,Estrelas,Idade (anos),PRs Aprovados,Releases,Dias sem Update,Linguagem Primária,Razão de Issues Fechadas
313,akullpp/awesome-java,35658,8.66,646,0,0,Unkutcnown,1.0
314,poteto/hiring-without-whiteboards,35617,5.98,1158,0,0,JavaScript,0
315,Homebrew/brew,35255,7.0,8933,292,0,Ruby,0.99
316,apache/spark,35160,9.03,5,0,0,Scala,0
317,rust-lang/rustlings,35157,7.47,618,34,0,Rust,0.8
318,videojs/video.js,35137,12.81,1587,281,0,JavaScript,0.92
319,php/php-src,35105,11.72,1530,0,0,C,0.72
320,go-gitea/gitea,35059,6.34,11208,162,0,Go,0.81
321,slatedocs/slate,35007,9.48,291,28,0,SCSS,0.92
322,RocketChat/Rocket.Chat,34936,7.8,9774,742,0,TypeScript,0.8
323,brillout/awesome-react-components,34854,6.7,293,0,0,Unkutcnown,1.0
324,floodsung/Deep-Learning-Papers-Reading-Roadmap,34854,6.39,28,0,0,Python,0.08
325,laurent22/joplin,34831,6.14,1937,275,0,TypeScript,0.95
326,chubin/cheat.sh,34821,5.83,122,0,0,Python,0.55
327,romkatv/powerlevel10k,34791,4.03,127,30,0,Shell,0.98
328,evanw/esbuild,34781,6.73,207,234,0,Go,0.9
329,nocodb/nocodb,34762,5.35,1681,90,0,TypeScript,0.82
330,quilljs/quill,34754,10.6,236,82,0,JavaScript,0.61
331,apachecn/ailearning,34753,6.03,475,2,0,Python,0.97
332,gorhill/uBlock,34721,7.93,210,270,0,JavaScript,1.0
333,FFmpeg/FFmpeg,34602,11.9,16,0,0,C,0
334,nodejs/node-v0.x-archive,34588,13.78,218,0,0,Unkutcnown,0.92
335,0voice/interview_internal_reference,34551,3.74,35,0,0,Python,0.4
336,kelseyhightower/kubernetes-the-hard-way,34548,6.66,69,0,0,Unkutcnown,0.78
337,alvarotrigo/fullPage.js,34429,9.46,295,86,0,JavaScript,0.96
338,serhii-londar/open-source-mac-os-apps,34401,5.34,514,0,0,Unkutcnown,0.78
339,nolimits4web/swiper,34336,10.98,526,36,0,JavaScript,0.96
340,lerna/lerna,34322,7.26,789,207,0,TypeScript,0.87
341,meilisearch/meilisearch,34319,4.87,1259,130,0,Rust,0.93
342,Kong/kong,34234,8.3,3978,128,0,Lua,0.95
343,google/styleguide,34118,7.8,148,0,0,HTML,0.38
344,sahat/hackathon-starter,34040,9.31,310,14,0,JavaScript,0.99
345,iamadamdev/bypass-paywalls-chrome,34028,4.91,131,33,0,JavaScript,1.0
346,preactjs/preact,34018,7.49,1439,180,0,JavaScript,0.91
347,wg/wrk,33988,10.96,0,0,0,C,0.68
348,Asabeneh/30-Days-Of-JavaScript,33963,3.2,96,0,0,JavaScript,0.44
349,nlohmann/json,33915,9.67,662,43,0,C++,0.98
350,dkhamsing/open-source-ios-apps,33831,8.11,732,37,0,Unkutcnown,1.0
351,ant-design/ant-design-pro,33808,5.53,925,26,0,TypeScript,0.98
352,jeecgboot/jeecg-boot,33734,4.28,14,25,0,Java,0.98
353,koajs/koa,33729,9.63,466,0,0,JavaScript,0.96
354,photonstorm/phaser,33723,9.9,1562,134,0,JavaScript,0.98
355,airbnb/lottie-android,33663,6.41,592,44,0,Java,0.99
356,react-hook-form/react-hook-form,33618,4.01,1774,509,0,TypeScript,1.0
357,skylot/jadx,33573,9.97,368,27,0,Java,0.79
358,pingcap/tidb,33541,7.5,22333,164,0,Go,0.79
359,eugenp/tutorials,33538,9.85,9349,0,0,Java,0.97
360,getsentry/sentry,33487,12.52,34457,99,0,Python,0.89
361,adobe/brackets,33481,11.25,4333,69,0,JavaScript,0.73
362,shadowsocks/shadowsocks-android,33436,10.22,245,184,0,Kotlin,0.99
363,exacity/deeplearningbook-chinese,33429,6.25,16,7,0,TeX,0.69
364,open-guides/og-aws,33426,6.65,498,0,0,Shell,0.39
365,jgraph/drawio,33418,6.5,32,727,0,JavaScript,0.87
366,bumptech/glide,33400,9.66,440,43,0,Java,0.91
367,TanStack/query,33395,3.49,1268,492,0,TypeScript,0.97
368,google-research/bert,33359,4.36,32,0,0,Python,0.31
369,AFNetworking/AFNetworking,33344,11.77,710,40,0,Objective-C,0
370,shadowsocks/shadowsocks,33307,10.88,70,2,0,Python,0
371,tabler/tabler,33275,5.09,367,39,0,HTML,0.91
372,AobingJava/JavaFamily,33221,3.32,2,0,0,Unkutcnown,0.98
373,jesseduffield/lazygit,33167,4.8,909,138,0,Go,0.68
374,BVLC/caffe,33159,9.48,1087,14,0,C++,0.81
375,microsoft/monaco-editor,33153,6.75,297,0,0,JavaScript,0.85
376,nativefier/nativefier,33063,7.67,253,94,0,TypeScript,0.81
377,dylanaraps/pure-bash-bible,33057,4.73,28,0,0,Shell,0.46
378,rust-unofficial/awesome-rust,33009,8.64,1139,0,0,Rust,0.91
379,starship/starship,33005,3.93,2252,117,0,Rust,0.77
380,zenorocha/clipboard.js,32989,7.47,117,42,0,JavaScript,0.99
381,topjohnwu/Magisk,32957,6.49,1173,126,0,C++,0.99
382,gulpjs/gulp,32717,9.67,396,22,0,JavaScript,0.99
