Número,Nome,Estrelas,Idade (anos),PRs Aprovados,Releases,Dias sem Update,Linguagem Primária,Razão de Issues Fechadas
158,junegunn/fzf,50136,9.35,364,25,0,Go,0.89
159,sindresorhus/awesome-nodejs,49917,8.64,392,0,0,Unkutcnown,1.0
160,3b1b/manim,49888,7.94,562,10,0,Python,0.67
161,scutan90/DeepLearning-500-questions,49886,4.68,302,0,0,JavaScript,0.44
162,necolas/normalize.css,49821,11.82,56,0,0,CSS,0.91
163,syncthing/syncthing,49816,9.26,2284,326,0,Go,0.93
164,remix-run/react-router,49737,8.79,1762,243,0,TypeScript,0.99
165,tesseract-ocr/tesseract,49398,8.55,1305,24,0,C++,0.85
166,psf/requests,49122,12.04,1466,5,0,Python,0.95
167,MunGell/awesome-for-beginners,48830,7.35,334,0,0,Unkutcnown,0.91
168,ionic-team/ionic-framework,48685,9.53,4314,559,0,TypeScript,0.98
169,bradtraversy/design-resources-for-developers,48461,2.82,819,0,0,Unkutcnown,1.0
170,microsoft/playwright,48235,3.29,9770,94,0,TypeScript,0.92
171,google/material-design-icons,47627,8.39,40,16,0,Unkutcnown,0.84
172,ageitgey/face_recognition,47433,5.99,94,2,0,Python,0.46
173,moment/moment,47258,12.0,712,0,0,JavaScript,0.95
174,fighting41love/funNLP,47190,4.53,11,0,0,Python,0.8
175,prometheus/prometheus,46959,10.26,5103,248,0,Go,0.88
